e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 a7a6 f1d3 g8f6                                                                                                          : ....2 832 moves, avg. D34, 019 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1g5 e7e6 f2f4 d8b6 d1d2 b6b2 a1b1 b2a3 e4e5 d6e5 f4e5 h7h6 g5h4 g7g5 h4g3 f6h5                          : .......44 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 e7e5 d4b5 d7d6 c2c4                                                                                                     : .......95 moves, avg. D18, 007 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 f2f3 h7h5 d1d2 b8d7 c3d5 f6d5 e4d5 e6f5                                              : ....7 526 moves, avg. D29, 029 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 f2f3 f8e7 d1d2 e8g8 e1c1 b8d7 g2g4 b7b5 a2a3                                         : ....1 522 moves, avg. D35, 096 counts/move
e2e4 e7e5 f1c4 g8f6 d2d4 e5d4 g1f3 f6e4 d1d4 e4f6                                                                                                          : .......55 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 d2d3 d7d6 c2c3 g7g6                                                                                                : .......48 moves, avg. D09, 011 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 e4d5 f6d5 f3e5 c6e5 e1e5 c7c6 e5e1 e7d6 d2d4 d8h4 g2g3 h4h3 e1e4           : ....3 507 moves, avg. D42, 107 counts/move
d2d4 g8f6 c1g5 f6e4                                                                                                                                        : ....2 341 moves, avg. D35, 019 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c4d5 e6d5 c1g5 c7c6 d1c2 f8e7 e2e3 b8d7 f1d3 e8g8 g1e2 f8e8 e1c1 b7b5                                                        : ......697 moves, avg. D34, 015 counts/move
g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 b1c3 d5c4 a2a4 c8f5 e2e3                                                                                                     : .......91 moves, avg. D19, 013 counts/move
g1f3 d7d5 d2d4 g8f6 c2c4 c7c6 b1c3 d5c4 a2a4 c8f5 f3e5                                                                                                     : ......619 moves, avg. D32, 016 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 g2g3 f8b4                                                                                                                    : 1 000 000 moves, avg. D33, 046 counts/move
e2e4 e7e5 f2f4 e5f4 f1c4                                                                                                                                   : ......390 moves, avg. D27, 023 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 d2d3 f8c5 c2c3 e8g8 e1g1 d7d6 f1e1 a7a5 c1g5 c5a7 b1d2 h7h6 g5h4                                                             : ....1 225 moves, avg. D36, 052 counts/move
g2g3 d7d5 g1f3 g8f6 f1g2 e7e6 c2c4 f8e7 d2d4 e8g8 e1g1 c7c6                                                                                                : ......174 moves, avg. D23, 018 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 f6d5 g5f7 e8f7 d1f3 f7e6 b1c3 c6b4                                                                            : ....1 639 moves, avg. D32, 030 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7                                                                                                : ....6 900 moves, avg. D30, 021 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 e7g5 h4g5 d8g5                                                                                      : ......103 moves, avg. D17, 007 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 h7h6                                                                                                : ......605 moves, avg. D34, 019 counts/move
e2e4 c7c6 d2d4 d7d5 e4e5 c6c5                                                                                                                              : ....1 175 moves, avg. D29, 019 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e6 f2f4 b8c6                                                                                                : .......40 moves, avg. D01, 001 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 h2h3 b8d7 g2g4 h7h6                                                                  : .......53 moves, avg. D18, 029 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 f2f3 h7h5 d1d2 b8d7 c3d5 e6d5 e4d5 f8e7                                              : .......46 moves, avg. D03, 003 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 f2f3 f8e7 d1d2 e8g8 e1c1 b8d7 g2g4 b7b5 g4g5 b5b4 g5f6                               : .......42 moves, avg. D03, 005 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 a4c6 d7c6 d2d3                                                                                           : ......130 moves, avg. D24, 046 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 c8b7                                                                                                : .......35 moves, avg. D03, 008 counts/move
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 e8g8 c2c3 d7d5 e4d5 f6d5 f3e5 c6e5 e1e5 c7c6 b3d5 c6d5 d2d4                               : .......78 moves, avg. D29, 047 counts/move
d2d4 g8f6 c1g5 c7c5                                                                                                                                        : .......23 moves, avg. D02, 002 counts/move
g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 c4d5 e6d5                                                                                      : ......508 moves, avg. D28, 012 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e4 d5e4 c3e4 f8b4 c1d2 d8d4 d2b4 d4e4 f1e2                                                                                 : ...11 841 moves, avg. D47, 064 counts/move
d2d4 d7d5 c2c4 e7e6 b1c3 c7c6 e2e4 d5e4 c3e4 f8b4 e4c3                                                                                                     : ......810 moves, avg. D32, 039 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5                                                                                                                    : ......694 moves, avg. D34, 011 counts/move
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6 f1e2 c8b7 h4f6 e7f6 c4d5 e6d5 e1g1 b8d7                                              : .......36 moves, avg. D02, 003 counts/move
e2e4 g7g6 d2d4 f8g7 c2c4 d7d6 g1f3 b8d7                                                                                                                    : .......35 moves, avg. D01, 001 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 f2f3 f7f5 e1d3 b7b6                                              : .......47 moves, avg. D08, 007 counts/move
e2e4 e7e5 f2f4 e5f4 g1f3 d7d6 d2d4                                                                                                                         : ......867 moves, avg. D34, 015 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3 e8g8 c2c3 d7d6 h2h3 a7a5 b1d2 h7h6 f1e1 c8e6 b2b3                                                             : ......180 moves, avg. D27, 013 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 d7d6 c2c3 g8f6 d2d3 e8g8 a2a4 a7a6 f1e1 h7h6                                                                            : ....1 267 moves, avg. D32, 031 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 d7d6 c2c3 g8f6 d2d3 e8g8 a2a4 a7a5 c1g5 h7h6 g5h4 c8e6 b1d2 d8e7 f1e1 g7g5 h4g3 f6e8 h2h3                               : .......39 moves, avg. D01, 001 counts/move
e2e4 c7c5 b1c3 b8c6 f2f4 g7g6                                                                                                                              : .......32 moves, avg. D01, 001 counts/move
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5 c6a5 c4b5 c7c6 d5c6 b7c6 b5e2                                                                                 : .......40 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 c7c5 d4d5                                                                                                                                   : .......29 moves, avg. D01, 001 counts/move
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7                                                                                                          : ......949 moves, avg. D36, 066 counts/move
g1f3 g8f6 c2c4 c7c5 b1c3 b8c6                                                                                                                              : ....5 271 moves, avg. D38, 047 counts/move
f2f4 d7d5 g1f3 g8f6 e2e3                                                                                                                                   : ......347 moves, avg. D32, 009 counts/move
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3 b8c6 d4b5                                                                                                     : ....5 141 moves, avg. D44, 047 counts/move
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8 f1e2 e7e5 e1g1 b8c6 d4d5 c6e7 f3e1 f6d7 f2f3 f7f5 c1e3 f5f4 e3f2 g6g5 a1c1                               : .......34 moves, avg. D08, 009 counts/move
d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 b1c3 e7e6 f3h4 f5g6                                                                                                : ....3 253 moves, avg. D33, 019 counts/move
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3 e7e5 d4b5 d7d6 c3d5 f6d5 e4d5 c6e7                                                                            : .......28 moves, avg. D03, 004 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 h2h3 b8d7 g2g4 b7b5                                                                  : ......200 moves, avg. D29, 026 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 c1e3 e7e5 d4b3 c8e6 h2h3 f8e7 f2f4 e5f4 e3f4                                                             : .......49 moves, avg. D02, 002 counts/move
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 g7g6 c1e3 f8g7 f2f3 e8g8 d1d2 b8c6 f1c4 c8d7 e1c1                                                             : ......711 moves, avg. D33, 014 counts/move
